id,user_id,amount
1,7,491.5
2,4,322.15
3,8,89.2
4,5,453.87
5,7,262.96
6,10,85.34
7,3,461.65
8,7,381.16
9,8,368.54
10,5,357.5
11,4,108.17
12,8,113.39
13,8,347.26
14,3,117.66
15,6,224.95
16,5,393.18
17,2,394.14
18,8,232.1
19,6,398.17
20,2,420.92
21,5,330.84
22,1,121.93
23,10,144.27
24,6,164.27
25,9,67.23
26,1,143.85
27,10,112.66
28,3,233.11
29,7,455.13
30,4,61.2
31,9,362.93
32,3,346.77
33,5,56.92
34,3,462.06
35,7,288.55
36,5,188.23
37,9,380.7
38,7,136.11
39,2,349.82
40,4,29.46
41,9,421.31
42,2,229.6
43,10,321.98
44,9,118.41
45,10,341.77
46,5,388.4
47,2,241.87
48,4,312.69
49,7,233.6
50,8,448.1
51,3,253.96
52,1,422.49
53,4,402.66
54,2,211.15
55,8,122.74
56,4,208.98
57,2,414.85
58,6,121.54
59,6,266.97
60,10,404.99
61,4,183.2
62,6,324.68
63,2,130.36
64,10,63.55
65,2,399.25
66,10,58.49
67,4,142.98
68,8,429.0
69,7,179.77
70,9,486.79
71,8,490.07
72,5,141.46
73,2,30.08
74,5,355.48
75,8,230.98
76,10,59.37
77,9,356.69
78,9,25.28
79,1,436.4
80,9,77.94
81,7,72.38
82,9,96.08
83,8,480.53
84,1,349.65
85,8,402.67
86,8,204.84
87,3,174.79
88,1,124.9
89,8,245.52
90,3,280.4
91,3,319.57
92,1,135.99
93,5,474.84
94,10,93.18
95,7,483.17
96,10,17.28
97,9,245.75
98,7,173.35
99,9,230.07
100,8,289.63
101,2,223.44
102,1,213.27
103,7,369.03
104,7,346.08
105,8,418.3
106,5,132.48
107,3,308.67
108,8,296.75
109,6,191.17
110,3,248.17
111,1,163.75
112,3,79.5
113,5,114.76
114,3,61.7
115,1,344.7
116,5,333.76
117,10,475.8
118,7,367.54
119,7,35.5
120,9,443.28
121,10,432.71
122,10,227.23
123,3,297.07
124,7,488.28
125,1,270.83
126,4,453.61
127,4,50.69
128,5,103.62
129,7,225.97
130,7,296.53
131,4,409.95
132,7,494.25
133,3,200.54
134,6,33.23
135,2,402.57
136,10,306.15
137,9,107.29
138,5,252.47
139,6,373.73
140,4,387.5
141,10,254.81
142,7,159.56
143,9,487.13
144,7,335.05
145,1,210.04
146,1,147.43
147,9,368.24
148,9,128.67
149,4,94.14
150,9,269.62
151,3,152.09
152,7,318.16
153,6,67.79
154,8,330.92
155,9,148.82
156,5,10.12
157,1,72.2
158,3,467.47
159,10,435.0
160,8,124.47
161,6,391.4
162,8,308.2
163,9,485.74
164,4,193.07
165,1,343.92
166,1,41.13
167,10,204.16
168,4,482.27
169,7,274.1
170,2,151.06
171,3,68.93
172,1,354.73
173,5,325.98
174,1,193.23
175,8,475.96
176,1,20.88
177,1,158.82
178,2,461.32
179,2,167.26
180,6,133.6
181,7,271.77
182,5,413.66
183,1,60.54
184,1,472.08
185,3,399.59
186,2,98.81
187,5,358.88
188,10,198.63
189,6,207.12
190,7,393.81
191,4,481.76
192,7,72.06
193,8,216.11
194,1,245.66
195,6,194.39
196,8,187.96
197,5,35.61
198,4,345.91
199,2,223.75
200,6,105.45
201,6,409.86
202,1,403.25
203,9,248.33
204,6,156.24
205,3,322.67
206,4,151.19
207,4,125.64
208,3,367.95
209,10,29.76
210,3,56.44
211,3,13.33
212,4,84.94
213,7,43.81
214,4,497.94
215,9,151.52
216,1,83.14
217,8,128.09
218,7,468.7
219,2,264.88
220,8,188.76
221,1,437.96
222,9,203.55
223,9,174.15
224,2,111.57
225,7,195.12
226,10,165.18
227,3,341.88
228,7,151.9
229,10,292.83
230,9,42.29
231,4,103.73
232,1,209.63
233,2,469.11
234,1,194.85
235,5,335.4
236,5,134.99
237,7,72.25
238,9,38.68
239,9,159.65
240,3,87.25
241,3,95.27
242,3,382.77
243,4,17.76
244,8,283.33
245,6,195.94
246,8,258.21
247,1,285.79
248,8,163.55
249,4,154.6
250,1,369.37
251,8,436.93
252,4,104.36
253,6,57.83
254,8,449.92
255,4,181.45
256,3,280.15
257,9,186.18
258,3,71.64
259,9,298.77
260,2,267.32
261,2,109.47
262,2,231.42
263,6,400.5
264,3,299.31
265,9,57.49
266,4,278.53
267,1,354.34
268,4,398.42
269,1,318.27
270,5,84.8
271,4,357.98
272,8,341.9
273,8,21.97
274,7,211.76
275,3,173.15
276,1,338.01
277,1,115.91
278,3,299.53
279,6,457.47
280,7,400.92
281,6,461.51
282,6,489.47
283,6,15.23
284,3,315.14
285,6,212.29
286,8,431.33
287,2,133.39
288,5,490.7
289,1,310.72
290,1,398.83
291,5,51.94
292,3,99.89
293,4,381.62
294,3,20.77
295,1,410.27
296,1,16.84
297,5,331.99
298,6,188.9
299,3,309.63
300,9,351.06
301,5,177.81
302,8,62.9
303,1,44.13
304,5,298.58
305,3,265.12
306,1,373.68
307,4,259.77
308,5,217.0
309,7,205.06
310,1,22.96
311,3,174.42
312,2,488.25
313,9,438.04
314,10,171.4
315,6,298.02
316,10,425.18
317,3,226.22
318,8,18.8
319,8,46.51
320,2,260.09
321,6,485.03
322,7,349.67
323,2,44.75
324,10,102.79
325,2,387.95
326,10,422.31
327,1,312.67
328,8,325.77
329,1,23.89
330,9,415.98
331,6,396.25
