id,date,amount,category
1,2023-06-22,290.64,Clothing
2,2023-02-17,498.05,Books
3,2023-04-28,180.18,Electronics
4,2023-07-12,483.38,Books
5,2023-11-20,188.76,Groceries
6,2023-09-09,309.07,Groceries
7,2023-07-15,81.02,Groceries
8,2023-12-26,445.52,Clothing
9,2023-01-10,320.91,Electronics
10,2023-07-31,229.09,Clothing
11,2023-10-05,78.86,Home & Garden
12,2023-08-31,378.22,Books
13,2023-10-20,244.43,Clothing
14,2023-03-29,401.04,Home & Garden
15,2023-03-12,400.42,Groceries
16,2023-03-30,433.01,Books
17,2023-11-11,250.08,Home & Garden
18,2023-07-13,86.39,Books
19,2023-02-09,321.69,Clothing
20,2023-03-29,361.76,Books
21,2023-06-24,238.55,Clothing
22,2023-03-30,434.96,Books
23,2023-12-04,454.14,Home & Garden
24,2023-06-15,466.73,Groceries
25,2023-01-26,438.41,Groceries
26,2023-11-30,434.23,Home & Garden
27,2023-03-14,378.81,Home & Garden
28,2023-09-23,228.74,Groceries
29,2023-04-26,139.8,Books
30,2023-09-01,189.02,Books
31,2023-07-17,103.65,Clothing
32,2023-12-02,347.32,Clothing
33,2023-12-05,80.5,Home & Garden
34,2023-04-10,215.78,Clothing
35,2023-06-27,125.55,Books
36,2023-09-01,169.65,Clothing
37,2023-10-13,422.57,Groceries
38,2023-05-28,318.84,Electronics
39,2023-05-28,146.07,Groceries
40,2023-10-16,180.4,Electronics
41,2023-09-23,92.11,Home & Garden
42,2023-07-05,73.15,Groceries
43,2023-05-08,265.57,Groceries
44,2023-02-02,297.74,Groceries
45,2023-02-01,318.58,Groceries
46,2023-07-22,386.93,Groceries
47,2023-09-02,138.13,Groceries
48,2023-06-01,284.85,Electronics
49,2023-06-13,289.62,Clothing
50,2023-07-03,138.92,Groceries
51,2023-01-29,285.44,Groceries
52,2023-10-18,380.02,Books
53,2023-05-09,95.96,Books
54,2023-05-09,382.89,Books
55,2023-02-23,272.27,Electronics
56,2023-02-08,181.78,Books
57,2023-09-02,150.77,Electronics
58,2023-10-01,231.69,Electronics
59,2023-12-02,230.29,Home & Garden
60,2023-04-16,176.24,Clothing
61,2023-02-12,348.55,Clothing
62,2023-02-01,220.36,Clothing
63,2023-09-15,108.88,Groceries
64,2023-11-18,314.37,Books
65,2023-02-27,128.62,Groceries
66,2023-10-19,103.04,Home & Garden
67,2023-12-25,466.3,Electronics
68,2023-04-30,232.22,Books
69,2023-09-25,325.93,Books
70,2023-03-24,87.82,Electronics
71,2023-04-02,193.24,Books
72,2023-04-10,368.06,Clothing
73,2023-02-23,210.9,Groceries
74,2023-05-02,392.2,Books
75,2023-03-26,306.95,Clothing
76,2023-07-23,162.73,Home & Garden
77,2023-11-21,487.05,Electronics
78,2023-09-20,199.6,Books
79,2023-02-17,245.51,Groceries
80,2023-05-08,120.0,Groceries
81,2023-05-12,137.42,Home & Garden
82,2023-12-23,401.78,Clothing
83,2023-06-30,440.93,Books
84,2023-12-01,320.63,Electronics
85,2023-05-24,479.15,Books
86,2023-05-29,403.69,Home & Garden
87,2023-08-16,250.14,Home & Garden
88,2023-10-07,204.51,Home & Garden
89,2023-07-27,51.24,Books
90,2023-12-08,469.14,Clothing
91,2023-02-18,438.56,Electronics
92,2023-11-02,426.87,Electronics
93,2023-03-11,154.07,Books
94,2023-06-19,444.61,Home & Garden
95,2023-06-13,161.26,Books
96,2023-04-06,481.45,Electronics
97,2023-07-17,398.83,Groceries
98,2023-04-05,299.77,Clothing
99,2023-09-14,233.55,Books
100,2023-06-28,165.86,Clothing
101,2023-10-20,235.29,Clothing
102,2023-11-01,280.5,Home & Garden
103,2023-12-16,201.96,Home & Garden
104,2023-04-09,59.58,Groceries
105,2023-02-12,115.63,Books
106,2023-07-21,118.24,Books
107,2023-01-01,464.17,Electronics
108,2023-02-13,242.81,Groceries
109,2023-01-24,350.25,Home & Garden
110,2023-07-07,292.44,Home & Garden
111,2023-05-11,139.63,Groceries
112,2023-04-09,129.27,Electronics
113,2023-03-04,433.09,Books
114,2023-08-11,174.66,Clothing
115,2023-05-04,389.76,Electronics
116,2023-03-24,317.8,Electronics
117,2023-08-16,153.35,Electronics
118,2023-05-29,325.76,Books
119,2023-07-29,220.37,Groceries
120,2023-02-20,234.55,Electronics
121,2023-09-28,384.46,Home & Garden
122,2023-02-11,204.28,Groceries
123,2023-02-28,434.71,Electronics
